treeType,plantingAreaAcre,plantingMonths,soilFertility,climateType,emissionReductionTCO2e
栎树,110,45,中等肥力土壤,亚热带季风气候,125.0
栎树,80,28,贫瘠土壤,滨海与盐碱化气候,35.0
樟树,105,36,肥沃土壤,亚热带季风气候,105.0
樟树,125,42,中等肥力土壤,热带季风气候,145.0
樟树,95,24,贫瘠土壤,干旱与半干旱气候,30.0
榆树,115,30,肥沃土壤,温带大陆性气候,85.0
榆树,135,40,中等肥力土壤,温带季风气候,115.0
榆树,105,22,贫瘠土壤,寒温带与亚寒带气候,22.0
槐树,120,32,肥沃土壤,温带季风气候,95.0
槐树,140,44,中等肥力土壤,亚热带季风气候,130.0
槐树,110,26,贫瘠土壤,滨海与盐碱化气候,32.0
桦树,130,34,肥沃土壤,寒温带与亚寒带气候,90.0
桦树,150,46,中等肥力土壤,温带大陆性气候,120.0
桦树,120,24,贫瘠土壤,干旱与半干旱气候,25.0
杨树,150,30,肥沃土壤,亚热带季风气候,100.0
桉树,100,24,中等肥力土壤,热带季风气候,105.0
杉木,140,36,肥沃土壤,温带季风气候,108.0
松树,110,28,中等肥力土壤,温带大陆性气候,85.0
栎树,130,34,肥沃土壤,亚热带季风气候,112.0
樟树,120,32,中等肥力土壤,热带季风气候,118.0
榆树,100,26,肥沃土壤,温带季风气候,88.0
槐树,140,38,中等肥力土壤,亚热带季风气候,128.0
桦树,130,30,肥沃土壤,寒温带与亚寒带气候,92.0
杨树,160,40,中等肥力土壤,温带大陆性气候,122.0
桉树,110,28,肥沃土壤,热带季风气候,125.0
杉木,150,36,中等肥力土壤,亚热带季风气候,115.0
松树,120,32,肥沃土壤,温带季风气候,102.0
栎树,140,38,中等肥力土壤,亚热带季风气候,120.0
樟树,130,34,肥沃土壤,热带季风气候,123.0
榆树,110,28,中等肥力土壤,温带季风气候,98.0
槐树,150,42,肥沃土壤,亚热带季风气候,132.0
桦树,140,36,中等肥力土壤,寒温带与亚寒带气候,100.0
杨树,100,24,肥沃土壤,温带季风气候,120.0
杨树,150,36,中等肥力土壤,温带大陆性气候,200.0
杨树,80,18,贫瘠土壤,干旱与半干旱气候,40.0
桉树,120,30,肥沃土壤,热带季风气候,250.0
桉树,90,27,中等肥力土壤,亚热带季风气候,180.0
桉树,60,12,贫瘠土壤,滨海与盐碱化气候,30.0
杉木,130,48,肥沃土壤,亚热带季风气候,320.0
杉木,110,33,中等肥力土壤,温带季风气候,190.0
杉木,70,21,贫瘠土壤,寒温带与亚寒带气候,50.0
松树,140,60,肥沃土壤,温带大陆性气候,350.0
松树,100,42,中等肥力土壤,干旱与半干旱气候,160.0
松树,50,15,贫瘠土壤,滨海与盐碱化气候,20.0
栎树,95,39,肥沃土壤,温带季风气候,220.0
栎树,85,24,中等肥力土壤,亚热带季风气候,130.0
栎树,40,9,贫瘠土壤,寒温带与亚寒带气候,10.0
樟树,105,36,肥沃土壤,亚热带季风气候,230.0
樟树,90,27,中等肥力土壤,热带季风气候,170.0
樟树,55,18,贫瘠土壤,滨海与盐碱化气候,25.0
榆树,115,45,肥沃土壤,温带大陆性气候,260.0
榆树,100,30,中等肥力土壤,温带季风气候,150.0
榆树,65,15,贫瘠土壤,干旱与半干旱气候,35.0
槐树,125,42,肥沃土壤,温带季风气候,240.0
槐树,110,27,中等肥力土壤,亚热带季风气候,140.0
槐树,75,12,贫瘠土壤,滨海与盐碱化气候,15.0
桦树,135,51,肥沃土壤,寒温带与亚寒带气候,280.0
桦树,120,36,中等肥力土壤,温带大陆性气候,180.0
桦树,85,21,贫瘠土壤,干旱与半干旱气候,30.0
杨树,160,48,肥沃土壤,亚热带季风气候,380.0
杨树,120,30,中等肥力土壤,热带季风气候,210.0
杨树,70,15,贫瘠土壤,滨海与盐碱化气候,35.0
桉树,140,36,肥沃土壤,温带大陆性气候,270.0
桉树,100,24,中等肥力土壤,温带季风气候,140.0
桉树,60,12,贫瘠土壤,寒温带与亚寒带气候,10.0
杉木,150,60,肥沃土壤,热带季风气候,400.0
杉木,110,36,中等肥力土壤,亚热带季风气候,200.0
杉木,80,24,贫瘠土壤,滨海与盐碱化气候,20.0
松树,160,72,肥沃土壤,温带大陆性气候,450.0
松树,120,48,中等肥力土壤,温带季风气候,220.0
松树,90,30,贫瘠土壤,干旱与半干旱气候,30.0
杨树,100,24,肥沃土壤,温带季风气候,120.0
桉树,150,36,肥沃土壤,热带季风气候,280.0
杉木,80,48,中等肥力土壤,亚热带季风气候,150.0
松树,200,60,中等肥力土壤,温带大陆性气候,350.0
栎树,120,30,肥沃土壤,温带季风气候,180.0
樟树,90,42,中等肥力土壤,亚热带季风气候,160.0
榆树,130,18,中等肥力土壤,温带大陆性气候,90.0
槐树,160,27,肥沃土壤,温带季风气候,220.0
桦树,110,33,中等肥力土壤,寒温带与亚寒带气候,130.0
杨树,140,45,贫瘠土壤,干旱与半干旱气候,70.0
桉树,170,54,中等肥力土壤,热带季风气候,320.0
杉木,100,66,肥沃土壤,亚热带季风气候,220.0
松树,220,72,中等肥力土壤,温带大陆性气候,400.0
栎树,150,36,中等肥力土壤,温带季风气候,230.0
樟树,110,48,肥沃土壤,亚热带季风气候,200.0
榆树,140,24,贫瘠土壤,干旱与半干旱气候,60.0
槐树,180,33,中等肥力土壤,温带季风气候,250.0
桦树,120,39,中等肥力土壤,寒温带与亚寒带气候,150.0
杨树,160,51,中等肥力土壤,温带大陆性气候,260.0
桉树,190,60,肥沃土壤,热带季风气候,400.0
杉木,110,72,中等肥力土壤,亚热带季风气候,280.0
松树,240,84,中等肥力土壤,温带大陆性气候,450.0
栎树,170,42,中等肥力土壤,温带季风气候,270.0
樟树,130,54,肥沃土壤,亚热带季风气候,240.0
榆树,150,30,中等肥力土壤,温带大陆性气候,110.0
槐树,200,39,中等肥力土壤,温带季风气候,290.0
桦树,140,45,中等肥力土壤,寒温带与亚寒带气候,170.0
杨树,180,57,中等肥力土壤,温带大陆性气候,300.0
桉树,210,66,肥沃土壤,热带季风气候,450.0
杉木,120,78,中等肥力土壤,亚热带季风气候,320.0
松树,260,90,中等肥力土壤,温带大陆性气候,500.0
栎树,190,48,中等肥力土壤,温带季风气候,300.0
樟树,140,60,肥沃土壤,亚热带季风气候,280.0
榆树,160,36,中等肥力土壤,温带大陆性气候,130.0
槐树,220,45,中等肥力土壤,温带季风气候,320.0
桦树,150,51,中等肥力土壤,寒温带与亚寒带气候,190.0
杨树,200,63,中等肥力土壤,温带大陆性气候,340.0
桉树,230,72,肥沃土壤,热带季风气候,500.0
杉木,130,84,中等肥力土壤,亚热带季风气候,360.0
松树,280,96,中等肥力土壤,温带大陆性气候,550.0
杨树,100,24,肥沃土壤,温带季风气候,120.0
杨树,150,36,中等肥力土壤,温带大陆性气候,200.0
杨树,80,18,贫瘠土壤,干旱与半干旱气候,30.0
桉树,120,48,肥沃土壤,热带季风气候,350.0
桉树,90,30,中等肥力土壤,亚热带季风气候,180.0
桉树,60,21,贫瘠土壤,滨海与盐碱化气候,60.0
杉木,130,33,肥沃土壤,亚热带季风气候,220.0
杉木,110,27,中等肥力土壤,温带季风气候,150.0
杉木,70,15,贫瘠土壤,寒温带与亚寒带气候,25.0
松树,140,42,肥沃土壤,温带大陆性气候,280.0
松树,100,39,中等肥力土壤,寒温带与亚寒带气候,170.0
松树,80,24,贫瘠土壤,干旱与半干旱气候,40.0
栎树,95,36,肥沃土壤,温带季风气候,200.0
栎树,75,30,中等肥力土壤,亚热带季风气候,130.0
栎树,55,21,贫瘠土壤,滨海与盐碱化气候,50.0
樟树,105,45,肥沃土壤,亚热带季风气候,260.0
樟树,85,33,中等肥力土壤,热带季风气候,190.0
樟树,65,27,贫瘠土壤,温带大陆性气候,70.0
榆树,115,39,肥沃土壤,温带大陆性气候,230.0
榆树,95,30,中等肥力土壤,温带季风气候,160.0
榆树,75,21,贫瘠土壤,干旱与半干旱气候,35.0
槐树,125,48,肥沃土壤,温带季风气候,290.0
槐树,105,36,中等肥力土壤,亚热带季风气候,200.0
槐树,85,24,贫瘠土壤,滨海与盐碱化气候,65.0
桦树,135,42,肥沃土壤,寒温带与亚寒带气候,240.0
桦树,115,33,中等肥力土壤,温带大陆性气候,175.0
桦树,95,27,贫瘠土壤,干旱与半干旱气候,45.0
杨树,160,60,肥沃土壤,温带季风气候,400.0
桉树,130,54,肥沃土壤,热带季风气候,450.0
杉木,120,48,肥沃土壤,亚热带季风气候,320.0
松树,150,51,肥沃土壤,温带大陆性气候,380.0
栎树,110,45,肥沃土壤,温带季风气候,270.0
樟树,100,42,肥沃土壤,亚热带季风气候,250.0
榆树,90,39,肥沃土壤,温带大陆性气候,220.0
槐树,80,36,肥沃土壤,温带季风气候,200.0
桦树,70,33,肥沃土壤,寒温带与亚寒带气候,180.0
杨树,50,12,贫瘠土壤,干旱与半干旱气候,15.0
桉树,40,9,贫瘠土壤,滨海与盐碱化气候,10.0
杉木,30,6,贫瘠土壤,寒温带与亚寒带气候,5.0
松树,45,10,贫瘠土壤,干旱与半干旱气候,8.0
栎树,35,7,贫瘠土壤,滨海与盐碱化气候,7.0
樟树,25,4,贫瘠土壤,温带大陆性气候,3.0
榆树,30,5,贫瘠土壤,干旱与半干旱气候,4.0
槐树,20,3,贫瘠土壤,滨海与盐碱化气候,2.0
桦树,15,2,贫瘠土壤,寒温带与亚寒带气候,1.0
杨树,100,24,肥沃土壤,温带季风气候,250.0
杨树,150,36,中等肥力土壤,温带大陆性气候,350.0
杨树,80,18,贫瘠土壤,干旱与半干旱气候,120.0
桉树,200,48,肥沃土壤,热带季风气候,600.0
桉树,120,30,中等肥力土壤,亚热带季风气候,320.0
桉树,90,21,贫瘠土壤,滨海与盐碱化气候,150.0
杉木,180,36,肥沃土壤,亚热带季风气候,450.0
杉木,130,27,中等肥力土壤,温带季风气候,280.0
杉木,70,15,贫瘠土壤,寒温带与亚寒带气候,90.0
松树,220,42,肥沃土壤,温带大陆性气候,520.0
松树,160,33,中等肥力土壤,寒温带与亚寒带气候,360.0
松树,100,24,贫瘠土壤,干旱与半干旱气候,180.0
栎树,190,39,肥沃土壤,温带季风气候,480.0
栎树,140,30,中等肥力土壤,亚热带季风气候,300.0
栎树,80,21,贫瘠土壤,滨海与盐碱化气候,120.0
樟树,210,45,肥沃土壤,亚热带季风气候,550.0
樟树,150,36,中等肥力土壤,热带季风气候,380.0
樟树,110,27,贫瘠土壤,干旱与半干旱气候,160.0
榆树,170,33,肥沃土壤,温带大陆性气候,420.0
榆树,120,24,中等肥力土壤,温带季风气候,260.0
榆树,90,18,贫瘠土壤,寒温带与亚寒带气候,110.0
槐树,230,48,肥沃土壤,亚热带季风气候,620.0
槐树,160,36,中等肥力土壤,热带季风气候,400.0
槐树,100,24,贫瘠土壤,滨海与盐碱化气候,170.0
桦树,200,42,肥沃土壤,寒温带与亚寒带气候,460.0
桦树,150,33,中等肥力土壤,温带大陆性气候,320.0
桦树,90,21,贫瘠土壤,干旱与半干旱气候,130.0
杨树,110,27,肥沃土壤,亚热带季风气候,280.0
桉树,130,33,中等肥力土壤,温带大陆性气候,340.0
杉木,160,39,肥沃土壤,热带季风气候,480.0
松树,190,45,中等肥力土壤,亚热带季风气候,420.0
栎树,140,30,贫瘠土壤,温带季风气候,190.0
樟树,170,36,肥沃土壤,寒温带与亚寒带气候,300.0
榆树,120,24,中等肥力土壤,滨海与盐碱化气候,170.0
槐树,150,30,肥沃土壤,干旱与半干旱气候,220.0
桦树,180,36,中等肥力土壤,亚热带季风气候,350.0
杨树,105,21,贫瘠土壤,热带季风气候,140.0
桉树,115,27,肥沃土壤,寒温带与亚寒带气候,260.0
杉木,145,33,中等肥力土壤,滨海与盐碱化气候,230.0
松树,175,39,肥沃土壤,干旱与半干旱气候,310.0
栎树,125,27,中等肥力土壤,温带大陆性气候,250.0
樟树,105,21,贫瘠土壤,亚热带季风气候,160.0
榆树,135,30,肥沃土壤,热带季风气候,300.0
槐树,165,36,中等肥力土壤,寒温带与亚寒带气候,280.0
桦树,155,33,贫瘠土壤,温带大陆性气候,200.0
杨树,100,24,肥沃土壤,温带季风气候,120.0
桉树,150,30,中等肥力土壤,热带季风气候,220.0
杉木,80,36,肥沃土壤,亚热带季风气候,100.0
松树,200,48,中等肥力土壤,温带大陆性气候,280.0
栎树,120,18,贫瘠土壤,寒温带与亚寒带气候,60.0
樟树,90,32,肥沃土壤,亚热带季风气候,130.0
榆树,160,26,中等肥力土壤,温带季风气候,180.0
槐树,110,42,肥沃土壤,温带大陆性气候,160.0
桦树,130,20,中等肥力土壤,寒温带与亚寒带气候,70.0
杨树,140,40,中等肥力土壤,亚热带季风气候,200.0
桉树,95,22,贫瘠土壤,热带季风气候,90.0
杉木,170,34,肥沃土壤,温带大陆性气候,210.0
松树,105,46,中等肥力土壤,寒温带与亚寒带气候,140.0
栎树,135,28,肥沃土壤,温带季风气候,150.0
樟树,85,38,中等肥力土壤,亚热带季风气候,110.0
榆树,155,24,贫瘠土壤,温带大陆性气候,80.0
槐树,100,44,肥沃土壤,热带季风气候,170.0
桦树,145,22,中等肥力土壤,寒温带与亚寒带气候,75.0
杨树,180,30,中等肥力土壤,滨海与盐碱化气候,190.0
桉树,110,36,肥沃土壤,亚热带季风气候,165.0
杉木,70,42,中等肥力土壤,温带大陆性气候,95.0
松树,220,28,贫瘠土壤,寒温带与亚寒带气候,105.0
栎树,100,34,肥沃土壤,温带季风气候,125.0
樟树,130,20,中等肥力土壤,亚热带季风气候,85.0
榆树,170,26,贫瘠土壤,温带大陆性气候,90.0
槐树,120,40,肥沃土壤,热带季风气候,175.0
桦树,150,24,中等肥力土壤,寒温带与亚寒带气候,80.0
杨树,160,38,中等肥力土壤,滨海与盐碱化气候,210.0
桉树,100,32,肥沃土壤,亚热带季风气候,140.0
杉木,80,46,中等肥力土壤,温带大陆性气候,110.0
松树,200,22,贫瘠土壤,寒温带与亚寒带气候,75.0
栎树,110,30,肥沃土壤,温带季风气候,135.0
樟树,140,26,中等肥力土壤,亚热带季风气候,95.0
榆树,180,20,贫瘠土壤,温带大陆性气候,85.0
槐树,130,44,肥沃土壤,热带季风气候,185.0
桦树,160,28,中等肥力土壤,寒温带与亚寒带气候,90.0
杨树,190,34,中等肥力土壤,滨海与盐碱化气候,220.0
桉树,120,38,肥沃土壤,亚热带季风气候,170.0
杉木,90,42,中等肥力土壤,温带大陆性气候,120.0
松树,210,24,贫瘠土壤,寒温带与亚寒带气候,85.0
栎树,100,36,肥沃土壤,温带季风气候,140.0
杨树,500,24,肥沃土壤,温带季风气候,120.0
桉树,300,36,中等肥力土壤,热带季风气候,150.0
杉木,400,18,肥沃土壤,亚热带季风气候,90.0
松树,600,48,中等肥力土壤,寒温带与亚寒带气候,180.0
栎树,200,30,肥沃土壤,温带大陆性气候,70.0
樟树,350,27,中等肥力土壤,亚热带季风气候,100.0
榆树,450,21,肥沃土壤,温带季风气候,110.0
槐树,550,33,中等肥力土壤,温带大陆性气候,130.0
桦树,250,39,肥沃土壤,寒温带与亚寒带气候,95.0
杨树,320,15,贫瘠土壤,干旱与半干旱气候,30.0
桉树,280,42,贫瘠土壤,滨海与盐碱化气候,40.0
杉木,380,12,贫瘠土壤,干旱与半干旱气候,25.0
松树,420,45,贫瘠土壤,寒温带与亚寒带气候,50.0
栎树,180,24,贫瘠土壤,温带大陆性气候,20.0
樟树,310,21,贫瘠土壤,亚热带季风气候,35.0
榆树,410,18,贫瘠土壤,温带季风气候,32.0
槐树,510,30,贫瘠土壤,温带大陆性气候,45.0
桦树,220,36,贫瘠土壤,寒温带与亚寒带气候,38.0
杨树,480,24,中等肥力土壤,滨海与盐碱化气候,60.0
桉树,340,30,中等肥力土壤,干旱与半干旱气候,55.0
杉木,460,18,中等肥力土壤,滨海与盐碱化气候,52.0
松树,620,42,中等肥力土壤,寒温带与亚寒带气候,140.0
栎树,220,33,中等肥力土壤,温带大陆性气候,68.0
樟树,370,27,中等肥力土壤,亚热带季风气候,92.0
榆树,470,21,中等肥力土壤,温带季风气候,102.0
槐树,570,36,中等肥力土壤,温带大陆性气候,125.0
桦树,270,39,中等肥力土壤,寒温带与亚寒带气候,98.0
杨树,540,27,肥沃土壤,热带季风气候,135.0
桉树,380,33,肥沃土壤,亚热带季风气候,160.0
杉木,440,21,肥沃土壤,温带季风气候,105.0
松树,640,45,肥沃土壤,寒温带与亚寒带气候,200.0
栎树,240,36,肥沃土壤,温带大陆性气候,80.0
樟树,390,27,肥沃土壤,亚热带季风气候,115.0
榆树,490,24,肥沃土壤,温带季风气候,122.0
槐树,590,39,肥沃土壤,温带大陆性气候,145.0
桦树,290,42,肥沃土壤,寒温带与亚寒带气候,108.0
杨树,360,18,贫瘠土壤,滨海与盐碱化气候,38.0
桉树,300,36,贫瘠土壤,干旱与半干旱气候,42.0
杉木,400,12,贫瘠土壤,滨海与盐碱化气候,32.0
松树,600,48,贫瘠土壤,寒温带与亚寒带气候,60.0
栎树,200,30,贫瘠土壤,温带大陆性气候,28.0
杨树,100,24,肥沃土壤,温带季风气候,350.0
杨树,150,36,中等肥力土壤,温带大陆性气候,520.0
杨树,80,18,贫瘠土壤,干旱与半干旱气候,120.0
桉树,120,30,肥沃土壤,热带季风气候,680.0
桉树,90,21,中等肥力土壤,亚热带季风气候,380.0
桉树,160,42,贫瘠土壤,滨海与盐碱化气候,450.0
杉木,70,15,肥沃土壤,亚热带季风气候,230.0
杉木,110,27,中等肥力土壤,温带季风气候,370.0
杉木,130,33,贫瘠土壤,寒温带与亚寒带气候,180.0
松树,140,39,肥沃土壤,寒温带与亚寒带气候,420.0
松树,85,24,中等肥力土壤,温带大陆性气候,280.0
松树,105,18,贫瘠土壤,干旱与半干旱气候,150.0
栎树,95,21,肥沃土壤,温带季风气候,310.0
栎树,125,30,中等肥力土壤,亚热带季风气候,400.0
栎树,155,36,贫瘠土壤,滨海与盐碱化气候,220.0
樟树,100,27,肥沃土壤,亚热带季风气候,480.0
樟树,75,18,中等肥力土壤,热带季风气候,260.0
樟树,115,33,贫瘠土壤,滨海与盐碱化气候,190.0
榆树,135,39,肥沃土壤,温带大陆性气候,460.0
榆树,90,24,中等肥力土壤,温带季风气候,320.0
榆树,100,15,贫瘠土壤,干旱与半干旱气候,130.0
槐树,120,30,肥沃土壤,温带季风气候,400.0
槐树,80,21,中等肥力土壤,亚热带季风气候,270.0
槐树,140,36,贫瘠土壤,滨海与盐碱化气候,200.0
桦树,110,27,肥沃土壤,寒温带与亚寒带气候,340.0
桦树,75,18,中等肥力土壤,温带大陆性气候,170.0
桦树,105,33,贫瘠土壤,干旱与半干旱气候,110.0
杨树,170,48,肥沃土壤,温带季风气候,720.0
桉树,180,45,肥沃土壤,热带季风气候,900.0
杉木,60,12,中等肥力土壤,亚热带季风气候,160.0
松树,190,54,肥沃土壤,寒温带与亚寒带气候,800.0
栎树,145,42,中等肥力土壤,温带季风气候,500.0
樟树,85,21,中等肥力土壤,亚热带季风气候,290.0
榆树,160,45,肥沃土壤,温带大陆性气候,650.0
槐树,130,36,中等肥力土壤,温带季风气候,430.0
桦树,100,30,中等肥力土壤,寒温带与亚寒带气候,250.0
杨树,50,9,贫瘠土壤,干旱与半干旱气候,60.0
桉树,70,15,贫瘠土壤,滨海与盐碱化气候,100.0
杉木,100,24,贫瘠土壤,寒温带与亚寒带气候,140.0
松树,90,21,贫瘠土壤,干旱与半干旱气候,120.0
栎树,110,30,贫瘠土壤,滨海与盐碱化气候,170.0
樟树,75,18,贫瘠土壤,滨海与盐碱化气候,130.0
榆树,120,33,贫瘠土壤,干旱与半干旱气候,160.0
槐树,105,27,贫瘠土壤,滨海与盐碱化气候,140.0
桦树,95,24,贫瘠土壤,干旱与半干旱气候,100.0
杨树,100,24,肥沃土壤,温带季风气候,120.0
桉树,150,30,中等肥力土壤,热带季风气候,200.0
杉木,80,18,肥沃土壤,亚热带季风气候,90.0
松树,200,36,中等肥力土壤,寒温带与亚寒带气候,250.0
栎树,120,27,肥沃土壤,温带大陆性气候,150.0
樟树,90,21,中等肥力土壤,亚热带季风气候,110.0
榆树,160,33,肥沃土壤,温带季风气候,180.0
槐树,110,24,中等肥力土壤,温带大陆性气候,130.0
桦树,130,30,肥沃土壤,寒温带与亚寒带气候,160.0
杨树,140,15,贫瘠土壤,干旱与半干旱气候,60.0
桉树,170,21,贫瘠土壤,滨海与盐碱化气候,80.0
杉木,70,12,贫瘠土壤,干旱与半干旱气候,30.0
松树,190,27,贫瘠土壤,寒温带与亚寒带气候,100.0
栎树,100,18,贫瘠土壤,温带大陆性气候,70.0
樟树,80,15,贫瘠土壤,亚热带季风气候,40.0
榆树,150,24,贫瘠土壤,温带季风气候,90.0
槐树,120,21,贫瘠土壤,温带大陆性气候,65.0
桦树,130,24,贫瘠土壤,寒温带与亚寒带气候,75.0
杨树,90,36,肥沃土壤,亚热带季风气候,140.0
桉树,100,33,肥沃土壤,热带季风气候,160.0
杉木,110,30,肥沃土壤,亚热带季风气候,130.0
松树,120,27,肥沃土壤,寒温带与亚寒带气候,140.0
栎树,130,24,肥沃土壤,温带大陆性气候,120.0
樟树,140,21,肥沃土壤,亚热带季风气候,100.0
榆树,150,18,肥沃土壤,温带季风气候,90.0
槐树,160,15,肥沃土壤,温带大陆性气候,80.0
桦树,170,12,肥沃土壤,寒温带与亚寒带气候,70.0
杨树,180,36,中等肥力土壤,温带季风气候,180.0
桉树,190,33,中等肥力土壤,热带季风气候,200.0
杉木,200,30,中等肥力土壤,亚热带季风气候,160.0
松树,210,27,中等肥力土壤,寒温带与亚寒带气候,170.0
栎树,220,24,中等肥力土壤,温带大陆性气候,140.0
樟树,230,21,中等肥力土壤,亚热带季风气候,120.0
榆树,240,18,中等肥力土壤,温带季风气候,100.0
槐树,250,15,中等肥力土壤,温带大陆性气候,80.0
桦树,260,12,中等肥力土壤,寒温带与亚寒带气候,60.0
杨树,270,36,贫瘠土壤,干旱与半干旱气候,40.0
桉树,280,33,贫瘠土壤,滨海与盐碱化气候,50.0
杉木,290,30,贫瘠土壤,干旱与半干旱气候,30.0
松树,300,27,贫瘠土壤,寒温带与亚寒带气候,70.0
杨树,100,12,肥沃土壤,温带季风气候,50.0
桉树,150,18,中等肥力土壤,热带季风气候,80.0
杉木,200,24,肥沃土壤,亚热带季风气候,120.0
松树,80,30,中等肥力土壤,寒温带与亚寒带气候,40.0
栎树,120,36,肥沃土壤,温带大陆性气候,70.0
樟树,180,42,中等肥力土壤,亚热带季风气候,100.0
榆树,90,48,肥沃土壤,温带季风气候,60.0
槐树,160,54,中等肥力土壤,温带大陆性气候,90.0
桦树,220,60,肥沃土壤,寒温带与亚寒带气候,110.0
杨树,110,15,中等肥力土壤,温带季风气候,55.0
桉树,170,21,肥沃土壤,热带季风气候,90.0
杉木,210,27,中等肥力土壤,亚热带季风气候,130.0
松树,90,33,肥沃土壤,寒温带与亚寒带气候,45.0
栎树,130,39,中等肥力土壤,温带大陆性气候,75.0
樟树,190,45,肥沃土壤,亚热带季风气候,110.0
榆树,100,51,中等肥力土壤,温带季风气候,65.0
槐树,170,57,肥沃土壤,温带大陆性气候,100.0
桦树,230,63,中等肥力土壤,寒温带与亚寒带气候,120.0
杨树,130,18,贫瘠土壤,干旱与半干旱气候,30.0
桉树,190,24,贫瘠土壤,热带季风气候,50.0
杉木,240,30,贫瘠土壤,亚热带季风气候,70.0
松树,100,36,贫瘠土壤,寒温带与亚寒带气候,20.0
栎树,150,42,贫瘠土壤,温带大陆性气候,40.0
樟树,200,48,贫瘠土壤,亚热带季风气候,60.0
榆树,110,54,贫瘠土壤,温带季风气候,35.0
槐树,180,60,贫瘠土壤,温带大陆性气候,55.0
桦树,250,66,贫瘠土壤,寒温带与亚寒带气候,70.0
杨树,140,21,中等肥力土壤,滨海与盐碱化气候,40.0
桉树,200,27,中等肥力土壤,热带季风气候,60.0
杉木,260,33,中等肥力土壤,亚热带季风气候,80.0
松树,110,39,中等肥力土壤,寒温带与亚寒带气候,25.0
栎树,160,45,中等肥力土壤,温带大陆性气候,45.0
樟树,210,51,中等肥力土壤,亚热带季风气候,70.0
榆树,120,57,中等肥力土壤,温带季风气候,40.0
槐树,190,63,中等肥力土壤,温带大陆性气候,60.0
桦树,260,69,中等肥力土壤,寒温带与亚寒带气候,80.0
杨树,150,24,肥沃土壤,滨海与盐碱化气候,50.0
桉树,220,30,肥沃土壤,热带季风气候,70.0
杉木,280,36,肥沃土壤,亚热带季风气候,90.0
